,time,open,high,low,close,tick_volume,spread,real_volume,diff
260,1713902400,1.07,1.07077,1.06993,1.07022,4569,0,0,0.00021999999999988695
261,1713916800,1.07017,1.07108,1.06996,1.07096,2259,0,0,0.0007899999999998464
262,1713931200,1.07095,1.07142,1.07043,1.07053,3892,0,0,-0.00042000000000008697
263,1713945600,1.07052,1.07057,1.06808,1.06833,7222,0,0,-0.0021899999999999142
264,1713960000,1.06835,1.0693,1.0678,1.06868,8060,0,0,0.0003300000000001635
265,1713974400,1.06868,1.07026,1.0681,1.06905,12602,0,0,0.00036999999999998145
266,1713988800,1.06905,1.07066,1.0687,1.06992,6595,0,0,0.0008699999999999264
267,1714003200,1.0694,1.07046,1.06938,1.07033,2352,0,0,0.0009300000000000974
268,1714017600,1.07033,1.07098,1.0697,1.07091,3123,0,0,0.0005800000000000249
269,1714032000,1.07091,1.07288,1.07077,1.07257,7654,0,0,0.0016599999999999948
270,1714046400,1.07256,1.07401,1.06854,1.0692,14443,0,0,-0.0033600000000000296
271,1714060800,1.06921,1.07351,1.06783,1.07311,20304,0,0,0.0039000000000000146
272,1714075200,1.07311,1.07387,1.07229,1.07296,7469,0,0,-0.0001500000000000945
273,1714089600,1.07279,1.07303,1.07228,1.07273,2031,0,0,-5.999999999994898e-05
274,1714104000,1.07273,1.07291,1.07186,1.07224,3756,0,0,-0.0004899999999998794
275,1714118400,1.07224,1.07528,1.07215,1.07409,10484,0,0,0.0018499999999999073
276,1714132800,1.07408,1.07433,1.07102,1.07163,14528,0,0,-0.002449999999999841
277,1714147200,1.07164,1.07239,1.06739,1.06945,16317,0,0,-0.0021899999999999142
278,1714161600,1.06945,1.0707200000000001,1.06909,1.0694,4561,0,0,-5.0000000000105516e-05
279,1714348800,1.06905,1.0711,1.06842,1.07098,3125,0,0,0.0019299999999999873
280,1714363200,1.07097,1.07337,1.07076,1.0729,11445,0,0,0.0019299999999999873
281,1714377600,1.0729,1.07337,1.07012,1.07046,19452,0,0,-0.0024399999999999977
282,1714392000,1.07045,1.07272,1.06973,1.07034,10063,0,0,-0.00010999999999983245
283,1714406400,1.07034,1.0729,1.06901,1.07258,12563,0,0,0.0022400000000000198
284,1714420800,1.07258,1.07297,1.0715,1.07198,7827,0,0,-0.000600000000000156
285,1714435200,1.07205,1.07225,1.07101,1.07151,2618,0,0,-0.0005399999999999849
286,1714449600,1.0715,1.07179,1.07024,1.07056,3474,0,0,-0.0009399999999999409
287,1714464000,1.07056,1.07122,1.069,1.07109,9156,0,0,0.0005300000000001415
288,1714478400,1.07113,1.07354,1.06894,1.07003,16272,0,0,-0.0010999999999998789
289,1714492800,1.07004,1.07196,1.0676,1.06788,24825,0,0,-0.002160000000000162
290,1714507200,1.06789,1.0683,1.06647,1.06652,7208,0,0,-0.0013700000000000934
291,1714521600,1.06663,1.06731,1.06581,1.06616,3030,0,0,-0.00046999999999997044
292,1714536000,1.06616,1.06633,1.06549,1.06558,2670,0,0,-0.0005800000000000249
293,1714550400,1.06557,1.06705,1.06494,1.06693,5472,0,0,0.0013600000000000279
294,1714564800,1.06695,1.06848,1.06667,1.06843,8269,0,0,0.0014799999999999258
295,1714579200,1.06843,1.06912,1.06707,1.06715,14067,0,0,-0.0012799999999999478
296,1714593600,1.06715,1.07327,1.06708,1.07136,38452,0,0,0.004210000000000047
297,1714608000,1.07103,1.07213,1.07067,1.07117,5376,0,0,0.000140000000000029
298,1714622400,1.07117,1.07208,1.0707,1.07177,4601,0,0,0.0005999999999999339
299,1714636800,1.07177,1.07282,1.07,1.07042,12842,0,0,-0.0013499999999999623
300,1714651200,1.07042,1.07123,1.06935,1.0701100000000001,12950,0,0,-0.00030999999999981043
301,1714665600,1.07012,1.07216,1.06741,1.07167,20924,0,0,0.0015499999999999403
302,1714680000,1.07167,1.07302,1.0714,1.07244,8491,0,0,0.0007700000000001594
303,1714694400,1.07245,1.07317,1.07225,1.07314,3489,0,0,0.0006900000000000794
304,1714708800,1.07314,1.07394,1.07308,1.07322,4446,0,0,8.000000000008001e-05
305,1714723200,1.07322,1.07442,1.07245,1.07425,10550,0,0,0.0010299999999998644
306,1714737600,1.07424,1.08122,1.07387,1.07937,18284,0,0,0.005129999999999857
307,1714752000,1.07937,1.07971,1.07514,1.07634,35723,0,0,-0.003029999999999866
